Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Running,69,107,Lunch,701,"22g Protein, 39g Carbs, 9g Fat",2.1,9,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Strength Training,109,552,Breakfast,873,"48g Protein, 98g Carbs, 19g Fat",1,7,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Swimming,91,481,Snack,954,"29g Protein, 38g Carbs, 5g Fat",1.4,7,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Cycling,47,176,Dinner,546,"23g Protein, 69g Carbs, 25g Fat",3.3,4,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Strength Training,95,102,Breakfast,634,"19g Protein, 24g Carbs, 8g Fat",2.5,5,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Yoga,99,109,Snack,891,"50g Protein, 74g Carbs, 27g Fat",3.3,4,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Strength Training,93,624,Dinner,341,"10g Protein, 56g Carbs, 12g Fat",0.8,10,Good,Balanced meal with lean protein.,Avocado toast with seeds,Shrimp and avocado salad
Swimming,117,655,Dinner,600,"50g Protein, 23g Carbs, 25g Fat",2.8,6,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Cycling,57,261,Lunch,483,"47g Protein, 37g Carbs, 11g Fat",3.1,7,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Strength Training,44,104,Dinner,724,"41g Protein, 45g Carbs, 6g Fat",0.9,4,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Yoga,58,191,Breakfast,657,"41g Protein, 66g Carbs, 23g Fat",2.5,8,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,73,394,Lunch,857,"39g Protein, 65g Carbs, 29g Fat",2.5,8,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Swimming,86,343,Lunch,288,"12g Protein, 56g Carbs, 14g Fat",3.5,4,Excellent,Standard balanced diet.,Avocado toast with seeds,Beef stir-fry with vegetables
Strength Training,50,270,Dinner,392,"30g Protein, 42g Carbs, 25g Fat",0.6,4,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Cycling,59,273,Breakfast,269,"38g Protein, 95g Carbs, 25g Fat",1.9,4,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Swimming,101,507,Lunch,364,"23g Protein, 72g Carbs, 18g Fat",3.4,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,32,292,Snack,450,"42g Protein, 91g Carbs, 13g Fat",1.6,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Swimming,49,413,Lunch,373,"19g Protein, 40g Carbs, 7g Fat",0.7,6,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Running,68,715,Snack,336,"15g Protein, 32g Carbs, 8g Fat",0.5,4,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Swimming,98,177,Dinner,940,"27g Protein, 85g Carbs, 5g Fat",0.6,4,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Running,38,772,Dinner,220,"33g Protein, 24g Carbs, 30g Fat",0.9,6,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Running,32,777,Snack,781,"15g Protein, 73g Carbs, 25g Fat",3.2,5,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Running,53,753,Lunch,234,"11g Protein, 96g Carbs, 27g Fat",1.4,8,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Cycling,50,450,Breakfast,760,"20g Protein, 29g Carbs, 6g Fat",0.8,9,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Swimming,10,251,Lunch,380,"23g Protein, 53g Carbs, 25g Fat",0.9,10,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,74,718,Breakfast,242,"11g Protein, 73g Carbs, 10g Fat",2.4,4,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Running,68,296,Breakfast,333,"26g Protein, 39g Carbs, 15g Fat",1.5,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Running,119,755,Dinner,562,"10g Protein, 62g Carbs, 6g Fat",1.7,9,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,60,622,Lunch,867,"21g Protein, 53g Carbs, 14g Fat",1.4,9,Fair,Standard balanced diet.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Yoga,76,453,Breakfast,772,"32g Protein, 75g Carbs, 15g Fat",2.2,8,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Cycling,10,65,Lunch,987,"32g Protein, 56g Carbs, 6g Fat",1.8,7,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Running,30,679,Breakfast,900,"29g Protein, 66g Carbs, 25g Fat",1.8,7,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Cycling,22,302,Snack,541,"27g Protein, 22g Carbs, 11g Fat",3.1,9,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Yoga,98,493,Lunch,372,"36g Protein, 65g Carbs, 28g Fat",0.9,5,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Swimming,105,394,Snack,742,"33g Protein, 73g Carbs, 12g Fat",1.6,9,Fair,Standard balanced diet.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Swimming,37,568,Breakfast,378,"10g Protein, 48g Carbs, 21g Fat",3.5,7,Fair,Standard balanced diet.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Yoga,16,284,Snack,354,"33g Protein, 35g Carbs, 25g Fat",1.4,9,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Swimming,112,744,Dinner,810,"20g Protein, 94g Carbs, 12g Fat",3.5,4,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Strength Training,82,621,Breakfast,325,"25g Protein, 76g Carbs, 18g Fat",2.1,9,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Swimming,113,294,Lunch,287,"40g Protein, 69g Carbs, 18g Fat",3,8,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Swimming,68,88,Lunch,397,"16g Protein, 57g Carbs, 21g Fat",1.2,9,Fair,Standard balanced diet.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Strength Training,116,52,Breakfast,921,"26g Protein, 34g Carbs, 10g Fat",1.6,10,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Swimming,108,659,Lunch,813,"28g Protein, 88g Carbs, 7g Fat",0.6,7,Fair,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Running,103,589,Dinner,792,"23g Protein, 35g Carbs, 21g Fat",0.8,7,Fair,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,109,533,Dinner,865,"10g Protein, 59g Carbs, 13g Fat",3.4,8,Excellent,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Swimming,42,303,Dinner,789,"12g Protein, 32g Carbs, 20g Fat",1.6,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,78,294,Snack,574,"38g Protein, 43g Carbs, 10g Fat",2.7,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,21,235,Breakfast,785,"28g Protein, 63g Carbs, 21g Fat",0.6,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Yoga,47,273,Dinner,428,"12g Protein, 63g Carbs, 6g Fat",2.3,9,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Running,56,354,Breakfast,727,"48g Protein, 97g Carbs, 6g Fat",3.2,5,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Running,109,134,Breakfast,912,"27g Protein, 61g Carbs, 16g Fat",1.9,4,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,92,635,Lunch,248,"40g Protein, 91g Carbs, 15g Fat",3.4,4,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,104,65,Snack,440,"48g Protein, 78g Carbs, 9g Fat",0.6,9,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Swimming,34,53,Dinner,879,"25g Protein, 35g Carbs, 30g Fat",2.5,5,Fair,Standard balanced diet.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Yoga,98,688,Dinner,761,"45g Protein, 68g Carbs, 6g Fat",0.6,7,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Strength Training,115,133,Breakfast,437,"43g Protein, 45g Carbs, 16g Fat",0.7,5,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Running,110,120,Lunch,270,"25g Protein, 96g Carbs, 26g Fat",1.8,4,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Yoga,63,80,Snack,897,"20g Protein, 63g Carbs, 23g Fat",2.9,7,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Swimming,93,282,Lunch,308,"19g Protein, 94g Carbs, 30g Fat",0.7,6,Excellent,Standard balanced diet.,Avocado toast with seeds,Shrimp and avocado salad
Strength Training,87,151,Lunch,751,"23g Protein, 92g Carbs, 6g Fat",1.8,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Strength Training,34,349,Snack,587,"33g Protein, 27g Carbs, 12g Fat",3.3,4,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Cycling,43,224,Lunch,485,"23g Protein, 57g Carbs, 14g Fat",1.8,6,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Cycling,21,207,Snack,985,"20g Protein, 87g Carbs, 7g Fat",1,6,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Swimming,25,195,Dinner,908,"27g Protein, 29g Carbs, 23g Fat",2.6,7,Excellent,Standard balanced diet.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Cycling,42,223,Breakfast,422,"21g Protein, 88g Carbs, 28g Fat",0.8,5,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Yoga,27,278,Snack,896,"18g Protein, 48g Carbs, 25g Fat",0.6,6,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Swimming,77,709,Dinner,475,"34g Protein, 23g Carbs, 6g Fat",1.6,6,Good,Standard balanced diet.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,52,430,Dinner,881,"28g Protein, 78g Carbs, 12g Fat",2.4,4,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Shrimp and avocado salad
Yoga,79,86,Dinner,615,"21g Protein, 84g Carbs, 6g Fat",3.3,7,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Strength Training,87,182,Breakfast,243,"39g Protein, 84g Carbs, 30g Fat",0.8,8,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Running,107,350,Dinner,926,"27g Protein, 58g Carbs, 26g Fat",1,10,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Yoga,92,343,Breakfast,786,"18g Protein, 52g Carbs, 25g Fat",2.2,8,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Yoga,81,528,Lunch,299,"25g Protein, 74g Carbs, 23g Fat",2.7,6,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Running,80,483,Dinner,666,"31g Protein, 68g Carbs, 7g Fat",1.5,9,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Yoga,35,450,Lunch,729,"49g Protein, 23g Carbs, 19g Fat",3.1,8,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Cycling,70,260,Dinner,892,"30g Protein, 87g Carbs, 27g Fat",3.1,8,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Yoga,41,369,Breakfast,435,"46g Protein, 50g Carbs, 28g Fat",2.4,8,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Strength Training,74,336,Breakfast,851,"43g Protein, 94g Carbs, 22g Fat",3.5,10,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Cycling,109,450,Dinner,700,"39g Protein, 55g Carbs, 28g Fat",2.6,6,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Swimming,15,255,Dinner,758,"39g Protein, 89g Carbs, 11g Fat",2,6,Good,Standard balanced diet.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Swimming,78,415,Breakfast,525,"19g Protein, 35g Carbs, 24g Fat",1.7,8,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Shrimp and avocado salad
Running,109,486,Snack,891,"45g Protein, 43g Carbs, 15g Fat",0.7,10,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Cycling,91,335,Lunch,222,"48g Protein, 81g Carbs, 9g Fat",1.6,4,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,109,785,Breakfast,713,"25g Protein, 21g Carbs, 22g Fat",0.7,5,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,11,643,Dinner,389,"17g Protein, 30g Carbs, 13g Fat",1.2,6,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,13,355,Lunch,406,"40g Protein, 49g Carbs, 11g Fat",0.5,6,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,112,292,Snack,801,"43g Protein, 63g Carbs, 8g Fat",2.6,10,Fair,Standard balanced diet.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,93,518,Snack,682,"44g Protein, 99g Carbs, 19g Fat",1.2,6,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Yoga,64,200,Breakfast,315,"30g Protein, 90g Carbs, 11g Fat",0.5,6,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Cycling,91,219,Snack,230,"10g Protein, 26g Carbs, 24g Fat",2.4,6,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,93,303,Snack,598,"13g Protein, 55g Carbs, 7g Fat",2.6,10,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Yoga,110,439,Snack,778,"11g Protein, 78g Carbs, 17g Fat",3.2,9,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Yoga,101,691,Dinner,772,"47g Protein, 82g Carbs, 15g Fat",0.5,9,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,44,643,Snack,217,"15g Protein, 51g Carbs, 9g Fat",2,4,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,41,84,Dinner,776,"36g Protein, 23g Carbs, 30g Fat",1.7,10,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Running,85,270,Snack,281,"45g Protein, 53g Carbs, 19g Fat",1.3,9,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Strength Training,59,276,Breakfast,485,"36g Protein, 46g Carbs, 25g Fat",2.9,10,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,80,316,Lunch,603,"30g Protein, 100g Carbs, 30g Fat",2.1,10,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Strength Training,40,175,Breakfast,644,"46g Protein, 70g Carbs, 5g Fat",2.2,4,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Swimming,26,412,Dinner,715,"33g Protein, 59g Carbs, 20g Fat",2.1,7,Excellent,Standard balanced diet.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Strength Training,37,721,Lunch,610,"48g Protein, 63g Carbs, 15g Fat",1.7,9,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Swimming,102,427,Snack,468,"23g Protein, 71g Carbs, 18g Fat",2.3,9,Good,Standard balanced diet.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,35,771,Snack,513,"20g Protein, 32g Carbs, 10g Fat",1.8,7,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,40,375,Snack,545,"28g Protein, 76g Carbs, 24g Fat",0.8,4,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Baked salmon with sweet potato and spinach
Swimming,101,307,Breakfast,243,"14g Protein, 23g Carbs, 19g Fat",2.3,10,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
